Starting Location,Starting Altitude(ft),Starting Velocity(fps),Starting Elapsed Time(s),Starting Thrust Points,Move Type,Move Direction,Ending Location,Ending Altitude(ft),Ending Velocity(fps),Ending Elapsed Time(s),Ending Thrust Points
W4,200.0,195.0,58.32786836819086,442.0,CRUISE,E,X4,200.0,195.0,59.353509393831885,441.0
X4,200.0,195.0,59.353509393831885,441.0,CRUISE,E,Y4,200.0,195.0,60.37915041947291,440.0
Y4,200.0,195.0,60.37915041947291,440.0,CRUISE,E,Z4,200.0,195.0,61.40479144511393,439.0
Z4,200.0,195.0,61.40479144511393,439.0,CRUISE,E,AA4,200.0,195.0,62.43043247075495,438.0
AA4,200.0,195.0,62.43043247075495,438.0,CRUISE,S,AA5,200.0,195.0,63.45607349639597,437.0
AA5,200.0,195.0,63.45607349639597,437.0,CRUISE,W,Z5,200.0,195.0,64.481714522037,436.0
Z5,200.0,195.0,64.481714522037,436.0,CRUISE,W,Y5,200.0,195.0,65.50735554767802,435.0
Y5,200.0,195.0,65.50735554767802,435.0,CRUISE,W,X5,200.0,195.0,66.53299657331904,434.0
X5,200.0,195.0,66.53299657331904,434.0,CRUISE,W,W5,200.0,195.0,67.55863759896006,433.0
W5,200.0,195.0,67.55863759896006,433.0,CRUISE,W,V5,200.0,195.0,68.58427862460108,432.0
V5,200.0,195.0,68.58427862460108,432.0,CRUISE,W,U5,200.0,195.0,69.6099196502421,431.0
U5,200.0,195.0,69.6099196502421,431.0,CRUISE,W,T5,200.0,195.0,70.63556067588313,430.0
T5,200.0,195.0,70.63556067588313,430.0,CRUISE,W,S5,200.0,195.0,71.66120170152415,429.0
S5,200.0,195.0,71.66120170152415,429.0,CRUISE,W,R5,200.0,195.0,72.68684272716517,428.0
R5,200.0,195.0,72.68684272716517,428.0,CRUISE,W,Q5,200.0,195.0,73.7124837528062,427.0
Q5,200.0,195.0,73.7124837528062,427.0,CRUISE,W,P5,200.0,195.0,74.73812477844722,426.0
P5,200.0,195.0,74.73812477844722,426.0,CRUISE,W,O5,200.0,195.0,75.76376580408824,425.0
O5,200.0,195.0,75.76376580408824,425.0,CRUISE,W,N5,200.0,195.0,76.78940682972926,424.0
N5,200.0,195.0,76.78940682972926,424.0,CRUISE,W,M5,200.0,195.0,77.81504785537028,423.0
M5,200.0,195.0,77.81504785537028,423.0,CRUISE,W,L5,200.0,195.0,78.8406888810113,422.0
L5,200.0,195.0,78.8406888810113,422.0,CRUISE,W,K5,200.0,195.0,79.86632990665233,421.0
K5,200.0,195.0,79.86632990665233,421.0,CRUISE,W,J5,200.0,195.0,80.89197093229335,420.0
J5,200.0,195.0,80.89197093229335,420.0,CRUISE,W,I5,200.0,195.0,81.91761195793437,419.0
I5,200.0,195.0,81.91761195793437,419.0,CRUISE,W,H5,200.0,195.0,82.94325298357539,418.0
H5,200.0,195.0,82.94325298357539,418.0,CRUISE,W,G5,200.0,195.0,83.96889400921641,417.0
G5,200.0,195.0,83.96889400921641,417.0,CRUISE,W,F5,200.0,195.0,84.99453503485744,416.0
F5,200.0,195.0,84.99453503485744,416.0,CRUISE,W,E5,200.0,195.0,86.02017606049846,415.0
E5,200.0,195.0,86.02017606049846,415.0,CRUISE,W,D5,200.0,195.0,87.04581708613948,414.0
D5,200.0,195.0,87.04581708613948,414.0,CRUISE,W,C5,200.0,195.0,88.0714581117805,413.0
C5,200.0,195.0,88.0714581117805,413.0,CRUISE,W,B5,200.0,195.0,89.09709913742152,412.0
B5,200.0,195.0,89.09709913742152,412.0,CRUISE,S,B6,200.0,195.0,90.12274016306255,411.0
B6,200.0,195.0,90.12274016306255,411.0,CRUISE,E,C6,200.0,195.0,91.14838118870357,410.0
C6,200.0,195.0,91.14838118870357,410.0,CRUISE,E,D6,200.0,195.0,92.17402221434459,409.0
D6,200.0,195.0,92.17402221434459,409.0,CRUISE,E,E6,200.0,195.0,93.19966323998561,408.0
E6,200.0,195.0,93.19966323998561,408.0,CRUISE,E,F6,200.0,195.0,94.22530426562663,407.0
F6,200.0,195.0,94.22530426562663,407.0,CRUISE,E,G6,200.0,195.0,95.25094529126766,406.0
G6,200.0,195.0,95.25094529126766,406.0,CRUISE,E,H6,200.0,195.0,96.27658631690868,405.0
H6,200.0,195.0,96.27658631690868,405.0,CRUISE,E,I6,200.0,195.0,97.3022273425497,404.0
I6,200.0,195.0,97.3022273425497,404.0,CRUISE,E,J6,200.0,195.0,98.32786836819072,403.0
J6,200.0,195.0,98.32786836819072,403.0,CRUISE,E,K6,200.0,195.0,99.35350939383174,402.0
K6,200.0,195.0,99.35350939383174,402.0,CRUISE,E,L6,200.0,195.0,100.37915041947277,401.0
L6,200.0,195.0,100.37915041947277,401.0,CRUISE,E,M6,200.0,195.0,101.40479144511379,400.0
M6,200.0,195.0,101.40479144511379,400.0,CRUISE,E,N6,200.0,195.0,102.43043247075481,399.0
N6,200.0,195.0,102.43043247075481,399.0,CRUISE,E,O6,200.0,195.0,103.45607349639583,398.0
O6,200.0,195.0,103.45607349639583,398.0,CRUISE,E,P6,200.0,195.0,104.48171452203685,397.0
P6,200.0,195.0,104.48171452203685,397.0,CRUISE,E,Q6,200.0,195.0,105.50735554767788,396.0
Q6,200.0,195.0,105.50735554767788,396.0,CRUISE,E,R6,200.0,195.0,106.5329965733189,395.0
R6,200.0,195.0,106.5329965733189,395.0,CRUISE,E,S6,200.0,195.0,107.55863759895992,394.0
S6,200.0,195.0,107.55863759895992,394.0,CRUISE,E,T6,200.0,195.0,108.58427862460094,393.0
T6,200.0,195.0,108.58427862460094,393.0,CRUISE,E,U6,200.0,195.0,109.60991965024196,392.0
U6,200.0,195.0,109.60991965024196,392.0,CRUISE,E,V6,200.0,195.0,110.63556067588299,391.0
V6,200.0,195.0,110.63556067588299,391.0,CRUISE,E,W6,200.0,195.0,111.661201701524,390.0
W6,200.0,195.0,111.661201701524,390.0,CRUISE,E,X6,200.0,195.0,112.68684272716503,389.0
X6,200.0,195.0,112.68684272716503,389.0,CRUISE,E,Y6,200.0,195.0,113.71248375280605,388.0
Y6,200.0,195.0,113.71248375280605,388.0,CRUISE,E,Z6,200.0,195.0,114.73812477844707,387.0
Z6,200.0,195.0,114.73812477844707,387.0,CRUISE,E,AA6,200.0,195.0,115.7637658040881,386.0
AA6,200.0,195.0,115.7637658040881,386.0,CRUISE,S,AA7,200.0,195.0,116.78940682972912,385.0
AA7,200.0,195.0,116.78940682972912,385.0,CRUISE,W,Z7,200.0,195.0,117.81504785537014,384.0
Z7,200.0,195.0,117.81504785537014,384.0,CRUISE,W,Y7,200.0,195.0,118.84068888101116,383.0
Y7,200.0,195.0,118.84068888101116,383.0,CRUISE,W,X7,200.0,195.0,119.86632990665218,382.0
X7,200.0,195.0,119.86632990665218,382.0,CRUISE,W,W7,200.0,195.0,120.8919709322932,381.0
W7,200.0,195.0,120.8919709322932,381.0,CRUISE,W,V7,200.0,195.0,121.91761195793423,380.0
V7,200.0,195.0,121.91761195793423,380.0,CRUISE,W,U7,200.0,195.0,122.94325298357525,379.0
U7,200.0,195.0,122.94325298357525,379.0,CRUISE,W,T7,200.0,195.0,123.96889400921627,378.0
T7,200.0,195.0,123.96889400921627,378.0,CRUISE,W,S7,200.0,195.0,124.9945350348573,377.0
S7,200.0,195.0,124.9945350348573,377.0,CRUISE,W,R7,200.0,195.0,126.02017606049831,376.0
R7,200.0,195.0,126.02017606049831,376.0,CRUISE,W,Q7,200.0,195.0,127.04581708613934,375.0
Q7,200.0,195.0,127.04581708613934,375.0,CRUISE,W,P7,200.0,195.0,128.07145811178037,374.0
P7,200.0,195.0,128.07145811178037,374.0,CRUISE,W,O7,200.0,195.0,129.0970991374214,373.0
O7,200.0,195.0,129.0970991374214,373.0,CRUISE,W,N7,200.0,195.0,130.12274016306242,372.0
N7,200.0,195.0,130.12274016306242,372.0,CRUISE,W,M7,200.0,195.0,131.14838118870344,371.0
M7,200.0,195.0,131.14838118870344,371.0,CRUISE,W,L7,200.0,195.0,132.17402221434446,370.0
L7,200.0,195.0,132.17402221434446,370.0,CRUISE,W,K7,200.0,195.0,133.19966323998548,369.0
K7,200.0,195.0,133.19966323998548,369.0,CRUISE,W,J7,200.0,195.0,134.2253042656265,368.0
J7,200.0,195.0,134.2253042656265,368.0,CRUISE,W,I7,200.0,195.0,135.25094529126753,367.0
I7,200.0,195.0,135.25094529126753,367.0,CRUISE,W,H7,200.0,195.0,136.27658631690855,366.0
H7,200.0,195.0,136.27658631690855,366.0,CRUISE,W,G7,200.0,195.0,137.30222734254957,365.0
G7,200.0,195.0,137.30222734254957,365.0,CRUISE,W,F7,200.0,195.0,138.3278683681906,364.0
F7,200.0,195.0,138.3278683681906,364.0,CRUISE,W,E7,200.0,195.0,139.35350939383162,363.0
E7,200.0,195.0,139.35350939383162,363.0,CRUISE,W,D7,200.0,195.0,140.37915041947264,362.0
D7,200.0,195.0,140.37915041947264,362.0,CRUISE,W,C7,200.0,195.0,141.40479144511366,361.0
C7,200.0,195.0,141.40479144511366,361.0,CRUISE,W,B7,200.0,195.0,142.43043247075468,360.0
B7,200.0,195.0,142.43043247075468,360.0,CRUISE,S,B8,200.0,195.0,143.4560734963957,359.0
B8,200.0,195.0,143.4560734963957,359.0,CRUISE,S,B9,200.0,195.0,144.48171452203673,358.0
B9,200.0,195.0,144.48171452203673,358.0,CRUISE,E,C9,200.0,195.0,145.50735554767775,357.0
C9,200.0,195.0,145.50735554767775,357.0,CRUISE,N,C8,200.0,195.0,146.53299657331877,356.0
C8,200.0,195.0,146.53299657331877,356.0,CRUISE,E,D8,200.0,195.0,147.5586375989598,355.0
D8,200.0,195.0,147.5586375989598,355.0,CRUISE,S,D9,200.0,195.0,148.5842786246008,354.0
D9,200.0,195.0,148.5842786246008,354.0,CRUISE,E,E9,200.0,195.0,149.60991965024184,353.0
E9,200.0,195.0,149.60991965024184,353.0,CRUISE,N,E8,200.0,195.0,150.63556067588286,352.0
E8,200.0,195.0,150.63556067588286,352.0,CRUISE,E,F8,200.0,195.0,151.66120170152388,351.0
F8,200.0,195.0,151.66120170152388,351.0,CRUISE,S,F9,200.0,195.0,152.6868427271649,350.0
F9,200.0,195.0,152.6868427271649,350.0,CRUISE,E,G9,200.0,195.0,153.71248375280592,349.0
G9,200.0,195.0,153.71248375280592,349.0,CRUISE,N,G8,200.0,195.0,154.73812477844695,348.0
G8,200.0,195.0,154.73812477844695,348.0,CRUISE,E,H8,200.0,195.0,155.76376580408797,347.0
H8,200.0,195.0,155.76376580408797,347.0,CRUISE,E,I8,200.0,195.0,156.789406829729,346.0
I8,200.0,195.0,156.789406829729,346.0,CRUISE,E,J8,200.0,195.0,157.81504785537,345.0
J8,200.0,195.0,157.81504785537,345.0,CRUISE,E,K8,200.0,195.0,158.84068888101103,344.0
K8,200.0,195.0,158.84068888101103,344.0,CRUISE,E,L8,200.0,195.0,159.86632990665206,343.0
L8,200.0,195.0,159.86632990665206,343.0,CRUISE,E,M8,200.0,195.0,160.89197093229308,342.0
M8,200.0,195.0,160.89197093229308,342.0,CRUISE,E,N8,200.0,195.0,161.9176119579341,341.0
N8,200.0,195.0,161.9176119579341,341.0,CRUISE,E,O8,200.0,195.0,162.94325298357512,340.0
O8,200.0,195.0,162.94325298357512,340.0,CRUISE,E,P8,200.0,195.0,163.96889400921614,339.0
P8,200.0,195.0,163.96889400921614,339.0,CRUISE,E,Q8,200.0,195.0,164.99453503485717,338.0
Q8,200.0,195.0,164.99453503485717,338.0,CRUISE,E,R8,200.0,195.0,166.0201760604982,337.0
R8,200.0,195.0,166.0201760604982,337.0,CRUISE,E,S8,200.0,195.0,167.0458170861392,336.0
S8,200.0,195.0,167.0458170861392,336.0,CRUISE,E,T8,200.0,195.0,168.07145811178023,335.0
T8,200.0,195.0,168.07145811178023,335.0,CRUISE,E,U8,200.0,195.0,169.09709913742125,334.0
U8,200.0,195.0,169.09709913742125,334.0,CRUISE,E,V8,200.0,195.0,170.12274016306228,333.0
V8,200.0,195.0,170.12274016306228,333.0,CRUISE,E,W8,200.0,195.0,171.1483811887033,332.0
W8,200.0,195.0,171.1483811887033,332.0,CRUISE,E,X8,200.0,195.0,172.17402221434432,331.0
X8,200.0,195.0,172.17402221434432,331.0,CRUISE,E,Y8,200.0,195.0,173.19966323998534,330.0
Y8,200.0,195.0,173.19966323998534,330.0,CRUISE,E,Z8,200.0,195.0,174.22530426562636,329.0
Z8,200.0,195.0,174.22530426562636,329.0,CRUISE,E,AA8,200.0,195.0,175.25094529126739,328.0
AA8,200.0,195.0,175.25094529126739,328.0,CRUISE,S,AA9,200.0,195.0,176.2765863169084,327.0
AA9,200.0,195.0,176.2765863169084,327.0,CRUISE,W,Z9,200.0,195.0,177.30222734254943,326.0
Z9,200.0,195.0,177.30222734254943,326.0,CRUISE,W,Y9,200.0,195.0,178.32786836819045,325.0
Y9,200.0,195.0,178.32786836819045,325.0,CRUISE,W,X9,200.0,195.0,179.35350939383147,324.0
X9,200.0,195.0,179.35350939383147,324.0,CRUISE,W,W9,200.0,195.0,180.3791504194725,323.0
W9,200.0,195.0,180.3791504194725,323.0,CRUISE,W,V9,200.0,195.0,181.40479144511352,322.0
V9,200.0,195.0,181.40479144511352,322.0,CRUISE,W,U9,200.0,195.0,182.43043247075454,321.0
U9,200.0,195.0,182.43043247075454,321.0,CRUISE,W,T9,200.0,195.0,183.45607349639556,320.0
T9,200.0,195.0,183.45607349639556,320.0,CRUISE,W,S9,200.0,195.0,184.48171452203658,319.0
S9,200.0,195.0,184.48171452203658,319.0,CRUISE,W,R9,200.0,195.0,185.5073555476776,318.0
R9,200.0,195.0,185.5073555476776,318.0,CRUISE,W,Q9,200.0,195.0,186.53299657331863,317.0
Q9,200.0,195.0,186.53299657331863,317.0,CRUISE,W,P9,200.0,195.0,187.55863759895965,316.0
P9,200.0,195.0,187.55863759895965,316.0,CRUISE,W,O9,200.0,195.0,188.58427862460067,315.0
O9,200.0,195.0,188.58427862460067,315.0,CRUISE,W,N9,200.0,195.0,189.6099196502417,314.0
N9,200.0,195.0,189.6099196502417,314.0,CRUISE,W,M9,200.0,195.0,190.63556067588272,313.0
M9,200.0,195.0,190.63556067588272,313.0,CRUISE,W,L9,200.0,195.0,191.66120170152374,312.0
L9,200.0,195.0,191.66120170152374,312.0,CRUISE,W,K9,200.0,195.0,192.68684272716476,311.0
K9,200.0,195.0,192.68684272716476,311.0,CRUISE,W,J9,200.0,195.0,193.71248375280578,310.0
J9,200.0,195.0,193.71248375280578,310.0,CRUISE,W,I9,200.0,195.0,194.7381247784468,309.0
I9,200.0,195.0,194.7381247784468,309.0,CRUISE,W,H9,200.0,195.0,195.76376580408783,308.0
H9,200.0,195.0,195.76376580408783,308.0,CRUISE,S,H10,200.0,195.0,196.78940682972885,307.0
H10,200.0,195.0,196.78940682972885,307.0,CRUISE,E,I10,200.0,195.0,197.81504785536987,306.0
I10,200.0,195.0,197.81504785536987,306.0,CRUISE,E,J10,200.0,195.0,198.8406888810109,305.0
J10,200.0,195.0,198.8406888810109,305.0,CRUISE,E,K10,200.0,195.0,199.8663299066519,304.0
K10,200.0,195.0,199.8663299066519,304.0,CRUISE,E,L10,200.0,195.0,200.89197093229294,303.0
L10,200.0,195.0,200.89197093229294,303.0,CRUISE,E,M10,200.0,195.0,201.91761195793396,302.0
M10,200.0,195.0,201.91761195793396,302.0,CRUISE,E,N10,200.0,195.0,202.94325298357498,301.0
N10,200.0,195.0,202.94325298357498,301.0,CRUISE,E,O10,200.0,195.0,203.968894009216,300.0
O10,200.0,195.0,203.968894009216,300.0,CRUISE,E,P10,200.0,195.0,204.99453503485702,299.0
P10,200.0,195.0,204.99453503485702,299.0,CRUISE,E,Q10,200.0,195.0,206.02017606049804,298.0
Q10,200.0,195.0,206.02017606049804,298.0,CRUISE,E,R10,200.0,195.0,207.04581708613907,297.0
R10,200.0,195.0,207.04581708613907,297.0,CRUISE,E,S10,200.0,195.0,208.0714581117801,296.0
S10,200.0,195.0,208.0714581117801,296.0,CRUISE,E,T10,200.0,195.0,209.0970991374211,295.0
T10,200.0,195.0,209.0970991374211,295.0,CRUISE,E,U10,200.0,195.0,210.12274016306213,294.0
U10,200.0,195.0,210.12274016306213,294.0,CRUISE,E,V10,200.0,195.0,211.14838118870315,293.0
V10,200.0,195.0,211.14838118870315,293.0,CRUISE,E,W10,200.0,195.0,212.17402221434418,292.0
W10,200.0,195.0,212.17402221434418,292.0,CRUISE,E,X10,200.0,195.0,213.1996632399852,291.0
X10,200.0,195.0,213.1996632399852,291.0,CRUISE,E,Y10,200.0,195.0,214.22530426562622,290.0
Y10,200.0,195.0,214.22530426562622,290.0,CRUISE,E,Z10,200.0,195.0,215.25094529126724,289.0
Z10,200.0,195.0,215.25094529126724,289.0,CRUISE,S,Z11,200.0,195.0,216.27658631690826,288.0
Z11,200.0,195.0,216.27658631690826,288.0,CRUISE,W,Y11,200.0,195.0,217.3022273425493,287.0
Y11,200.0,195.0,217.3022273425493,287.0,CRUISE,W,X11,200.0,195.0,218.3278683681903,286.0
X11,200.0,195.0,218.3278683681903,286.0,CRUISE,W,W11,200.0,195.0,219.35350939383133,285.0
W11,200.0,195.0,219.35350939383133,285.0,CRUISE,W,V11,200.0,195.0,220.37915041947235,284.0
V11,200.0,195.0,220.37915041947235,284.0,CRUISE,W,U11,200.0,195.0,221.40479144511337,283.0
U11,200.0,195.0,221.40479144511337,283.0,CRUISE,W,T11,200.0,195.0,222.4304324707544,282.0
T11,200.0,195.0,222.4304324707544,282.0,CRUISE,W,S11,200.0,195.0,223.45607349639542,281.0
S11,200.0,195.0,223.45607349639542,281.0,CRUISE,W,R11,200.0,195.0,224.48171452203644,280.0
R11,200.0,195.0,224.48171452203644,280.0,CRUISE,W,Q11,200.0,195.0,225.50735554767746,279.0
Q11,200.0,195.0,225.50735554767746,279.0,CRUISE,W,P11,200.0,195.0,226.53299657331848,278.0
P11,200.0,195.0,226.53299657331848,278.0,CRUISE,W,O11,200.0,195.0,227.5586375989595,277.0
O11,200.0,195.0,227.5586375989595,277.0,CRUISE,W,N11,200.0,195.0,228.58427862460053,276.0
N11,200.0,195.0,228.58427862460053,276.0,CRUISE,W,M11,200.0,195.0,229.60991965024155,275.0
M11,200.0,195.0,229.60991965024155,275.0,CRUISE,W,L11,200.0,195.0,230.63556067588257,274.0
L11,200.0,195.0,230.63556067588257,274.0,CRUISE,W,K11,200.0,195.0,231.6612017015236,273.0
K11,200.0,195.0,231.6612017015236,273.0,CRUISE,W,J11,200.0,195.0,232.68684272716462,272.0
J11,200.0,195.0,232.68684272716462,272.0,CRUISE,W,I11,200.0,195.0,233.71248375280564,271.0
I11,200.0,195.0,233.71248375280564,271.0,CRUISE,W,H11,200.0,195.0,234.73812477844666,270.0
H11,200.0,195.0,234.73812477844666,270.0,CRUISE,S,H12,200.0,195.0,235.76376580408768,269.0
H12,200.0,195.0,235.76376580408768,269.0,CRUISE,E,I12,200.0,195.0,236.7894068297287,268.0
